Sharpe,CAGR,MERTON_N_TOP,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COV_SHORT_WINDOW,VIEW_SCALE,COV_BLEND_ALPHA,COV_SHRINKAGE,MERTON_GAMMA,BL_DELTA,MERTON_MAX_SECTOR
0.7866775809816211,0.135997700946491,24,145,39,25,224,35,0.332268915718518,0.4301741775188372,0.33296035939403745,-0.686774770601791,1.8581825910673242,0.2725821299527047
0.6832640249794338,0.11703876932925805,29,76,40,34,164,120,0.24458258828301563,0.365546990873845,0.29770203081683416,-0.9251436397751684,2.7113409346133146,0.375455355741245
0.8450873666127636,0.14577679515765052,28,166,1,27,226,106,0.4028365460330803,0.7109719074352545,0.30780322119381426,-0.8639936568326569,2.2195220065447687,0.34906579343742916
0.7366496723480916,0.12448510695261117,27,65,37,6,186,70,0.46484848406294516,0.7243358477740817,0.1847113267953537,-0.9725173575011743,3.176228429802045,0.44692321821090675
0.7904274794540818,0.13420675558293138,17,141,28,37,164,124,0.387875535640363,0.8819289892207376,0.07730316987986227,-0.6465586467878738,1.692209609432333,0.30542282946982646
0.7360124087294312,0.12861512703840106,14,106,32,9,185,96,0.27025724173335863,0.4011798738801622,0.12515990632851498,-1.4727559807528123,3.4210704093410014,0.4877955232187112
0.6481332464151447,0.10989911911416295,19,95,41,31,109,25,0.2703157280711246,0.7057597300794114,0.12968684357375723,-1.126936194656671,1.7622727840257137,0.2878291605643193
0.7324107783932845,0.12635299453270687,29,63,32,17,173,66,0.30171789274326877,0.47094990145155635,0.23610605416925218,-1.4720840003559692,2.3115488706051663,0.403224605156681
0.7406267620708156,0.12359754997702077,12,160,4,42,133,67,0.5242811010362665,0.8498231966400486,0.09871679539209269,-0.9490723560795928,1.9485613985750543,0.4482693781475938
0.7390098997052615,0.12551518714331578,29,157,44,41,167,27,0.30620494136483895,0.518719077506258,0.27948733659282265,-0.9160967473270352,2.6403763087850174,0.2855106147190617
0.7605533498143329,0.12945867485428253,19,183,38,17,158,62,0.21829668369617303,0.48201681182539285,0.18256067932142292,-1.2133349878177533,2.406997090161796,0.45827240989354834
0.7402835008262091,0.1254489733546269,17,170,51,28,199,79,0.3789815504775349,0.6025432541603517,0.07485072014386947,-1.3878044253268647,2.4573343739993745,0.26846046035641485
0.6853467342386698,0.11861358456448245,13,79,17,28,155,121,0.13494808057702073,0.6613890263689007,0.20837131649040114,-1.456540651107469,3.0607440900821588,0.42617015779783474
0.7728339282184553,0.1323458828720041,14,182,6,30,102,96,0.27484523459315424,0.647459111342469,0.26716559557688396,-1.3718439122704433,1.8984322470947161,0.30902151451905047
0.7535196898419434,0.1261826458470936,18,141,24,25,118,55,0.4596094606826776,0.7150883110755843,0.09876041249392478,-0.6312174678798251,2.119106446071772,0.3665300466817961
0.7469327082208258,0.12646180734515022,26,86,13,20,103,45,0.43534868412530286,0.6529478692802012,0.35850654161009976,-1.3261337880248347,2.6493829656662724,0.36801880627871214
0.788397453151539,0.1331284377634414,32,123,31,33,163,64,0.4189666254337935,0.46722689937082146,0.09447658355243774,-0.6278563351293043,2.5517128338698267,0.311939049875278
0.7669831935599416,0.13051237106162783,15,120,51,29,100,47,0.1976690497970793,0.8943424231140242,0.11455251047886607,-1.1323083736540047,2.2966927012104215,0.4652899052561901
0.775388899204205,0.1335376002518136,25,98,46,13,104,34,0.4470557153452765,0.6391097707994048,0.08299757589109125,-0.999556687449297,3.47689009568271,0.48076798341720656
0.7957942193224194,0.13572716816826436,16,134,20,13,182,83,0.34046284787934106,0.8819880680064753,0.05526416094623581,-1.157518854110588,2.306296148471895,0.4325773637195196
0.8268135174780415,0.14476784097941287,28,158,27,32,233,81,0.3572233823438135,0.47415218972869727,0.3541026936256231,-1.0304358980820172,2.2150738181678964,0.4487813287713618
0.7475995270410303,0.12614384949227309,17,155,22,17,109,23,0.12360473608916135,0.8104955455108453,0.1028663028988258,-0.8373098522290061,2.681463303869538,0.30633840593218264
0.7295238718336043,0.12153702583627579,32,120,1,20,163,74,0.48851952039218954,0.8495829741435077,0.08029951647621959,-1.02800903129188,2.0890738635874007,0.4469622681733102
0.7652003530261943,0.1342557922531984,26,107,37,23,209,95,0.3931442866441546,0.7460615638283425,0.20082205864174912,-0.9045445126043301,2.0442881399990407,0.44427377097532317
0.7893025102817967,0.1327789783811466,26,173,28,16,230,73,0.16498034332782288,0.3670360438794229,0.10062006034014222,-0.8071041089436022,3.0725280805605095,0.28229761840090134
0.7081197108002811,0.1212542751888015,13,190,22,18,134,115,0.5498317082924182,0.8046356608141858,0.1831237416532412,-1.47342021912965,2.5159433371343414,0.3719858315816183
0.6499409543348244,0.11236438899070822,12,63,42,38,154,36,0.3896123118522478,0.45750892946897576,0.1950024030909309,-0.9831241430097266,2.675327360404699,0.3798798380030922
0.7460159617531409,0.13298073600486426,13,109,31,6,224,34,0.38831611938902777,0.6636106619579832,0.28389527584618524,-1.411585270543968,1.9995933779170265,0.30871759093601553
0.8435058629209826,0.14526089999330272,33,167,5,33,184,100,0.5379182202016481,0.8495107762430533,0.27542622152760154,-0.9402716597741612,3.1353080765883528,0.3874156487576633
0.7709359663313912,0.1337123646257421,26,161,12,11,211,75,0.32795040974073186,0.5907903796566855,0.23182615500097334,-0.8246106491308797,2.7108362554954404,0.48814640893092565
0.7196254842099924,0.11777063614776884,17,91,0,10,105,98,0.2246964425394904,0.46830173328911623,0.11280193902042446,-0.9747194091270107,2.318983020192471,0.4937918019941473
0.7742979295100153,0.1315274480046471,20,149,49,27,211,82,0.24255146425088064,0.8323108315333917,0.09072453036525503,-0.690889693112472,1.7480260072360863,0.3745975799183463
0.7086696654370966,0.12010274066110949,25,90,9,26,188,41,0.3362336410705154,0.3186654338060304,0.1363690465925965,-0.6910656003633793,2.539379242283583,0.37378381871957544
0.7895673472861542,0.13302533720576637,19,144,35,24,142,48,0.5026876503943036,0.48789703870689766,0.05638078828677204,-1.2915472293663772,2.318142411298762,0.2524401600265039
0.766855318804789,0.13009272192682775,28,132,37,41,148,80,0.2090388910007812,0.3385055599223558,0.2391997627194996,-0.7460064807337262,2.7831184056802147,0.3918710955334582
0.6839793311900441,0.11812666519499393,20,110,26,19,119,112,0.14078583910823836,0.4792958998566898,0.15053587800986845,-0.42048238521932746,2.5035445292166085,0.29530397332018765
0.77622097715935,0.13476224549500238,16,171,46,19,228,61,0.26497734205749246,0.3901533346268909,0.20631946223682768,-0.8958670025416093,2.4056732918157846,0.3453282369645751
