Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2024-07-31,34852213.34,True,3612.14,"IWDA.L, IEMA.L, INDA, EWT, XLC, XLF, KBE, XLE, XLI, XLP, XLU, XLK, SOXX, VNQ, GLD, SLV, DBA, COPX, BITO",19,0.0,normal,"rebalance: EWT peso=0.0738 fuera de [0.0301, 0.0701]"
2024-08-30,34326795.74,True,6273.49,"IWDA.L, IUSN.DE, IEMA.L, INDA, EWT, XLC, XLF, KBE, XLB, ITB, XBI, XLU, SOXX, VNQ, GLD, SLV, BITO",17,0.0023,normal,"rebalance: COPX peso=0.0295 fuera de [0.0000, 0.0200]"
2024-09-30,35260130.73,True,7709.34,"IWDA.L, VGK, IEMA.L, MCHI, INDA, EWT, XLC, XLF, KBE, XLI, ITB, XLP, XLU, XLK, VNQ, GLD, SLV, DBA",18,0.0089,normal,"rebalance: BITO peso=0.0941 fuera de [0.0000, 0.0200]"
2024-10-31,35648633.71,True,6311.65,"IWDA.L, IUSN.DE, IEMA.L, MCHI, INDA, XLY, XLC, XLF, KBE, XLI, ITB, XLP, XLU, XLK, IGV, VNQ, GLD",17,0.0194,normal,"rebalance: DBA peso=0.0320 fuera de [0.0000, 0.0200]"
2024-11-29,38375813.13,True,7362.53,"IWDA.L, IEMA.L, MCHI, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLU, IGV, CIBR, VNQ, GLD, SLV, HYG, BITO",18,0.0028,normal,"rebalance: BITO peso=0.0000 fuera de [0.0405, 0.0805]"
2024-12-31,37297106.41,True,3501.58,"IWDA.L, IEMA.L, MCHI, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLP, XLU, IGV, CIBR, VNQ, GLD, BITO",17,0.0067,normal,"rebalance: EWT peso=0.0479 fuera de [0.0000, 0.0304]"
2025-01-31,38907183.93,True,9356.33,"IUSN.DE, MCHI, XLY, XLC, XLF, KBE, XLP, XLU, IGV, CIBR, VNQ, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",19,0.0051,normal,"rebalance: DBA peso=0.0000 fuera de [0.0252, 0.0652]"
2025-02-28,38489199.31,True,9760.53,"IWDA.L, MCHI, XLY, XLC, XLF, KBE, XLI, IGV, CIBR, GLD, DBA, BITO",12,0.0,normal,"rebalance: BITO peso=0.0756 fuera de [0.0984, 0.1384]"
2025-03-31,35741682.6,True,5804.8,"VGK, MCHI, XLY, XLC, XLF, KBE, XLI, XLU, CIBR, LIT, GLD, DBA, TIP, HYG, EMB, BITO",16,0.0025,normal,"rebalance: CIBR peso=0.0758 fuera de [0.0874, 0.1274]"
2025-04-30,34462622.08,True,5782.33,"VGK, MCHI, XLC, XLF, KBE, XLE, XLP, XLU, CIBR, GLD, SLV, DBA, IEF, TIP, HYG, EMB, BITO",17,0.006,caution,"rebalance: CIBR peso=0.1118 fuera de [0.0614, 0.1014]"
2025-05-30,35851810.66,True,4020.66,"VGK, EWJ, MCHI, EWZ, XLC, XLF, XLP, XLU, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",18,0.003,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0828, 0.1228]"
2025-06-30,35725275.3,True,6142.73,"VGK, EWJ, IEMA.L, MCHI, EWZ, EWY, XLC, XLF, XLI, XLP, XLU, CIBR, GLD, DBA, IEF, TIP, HYG, EMB, BITO",19,0.0059,normal,"rebalance: BITO peso=0.1025 fuera de [0.0559, 0.0959]"
2025-07-31,36659897.75,True,10735.39,"VGK, IUSN.DE, IEMA.L, MCHI, EWZ, EWY, XLC, XLF, XLI, XLB, XLP, XLK, CIBR, GLD, SLV, COPX, BITO",17,0.0044,normal,"rebalance: BITO peso=0.0820 fuera de [0.0282, 0.0682]"
2025-08-29,37152645.81,True,9706.64,"IWDA.L, VGK, IUSN.DE, IEMA.L, MCHI, EWT, EWY, XLI, XLU, XLK, GLD, SLV, BITO",13,0.0055,normal,"rebalance: CIBR peso=0.0526 fuera de [0.0000, 0.0200]"
2025-09-30,39183142.7,True,11086.79,"EWJ, IUSN.DE, IEMA.L, EWZ, EWY, XLC, KBE, XLI, ITB, XLU, XLK, SOXX, LIT, GLD, SLV, COPX",16,0.0,normal,"rebalance: BITO peso=0.0269 fuera de [0.0000, 0.0200]"
2025-10-31,41210098.58,True,18158.71,"VGK, MCHI, EWY, XLC, ITB, XBI, XLP, XLK, SOXX, VNQ, LIT, SLV, COPX",13,0.0,normal,"rebalance: COPX peso=0.0374 fuera de [0.1085, 0.1485]"
2025-11-28,41376829.48,True,13787.84,"IWDA.L, IEMA.L, EWT, EWY, XLC, KBE, XBI, XLP, XLK, SOXX, LIT, SLV, COPX",13,0.0,normal,"rebalance: COPX peso=0.1329 fuera de [0.0850, 0.1250]"
2025-12-31,42770407.11,True,16047.67,"IEMA.L, EWZ, EWY, XLC, ITB, XLV, XBI, XLU, XLK, SOXX, LIT, GLD, SLV, COPX, TLT, IEF, EMB",17,0.0,normal,"rebalance: COPX peso=0.1145 fuera de [0.0000, 0.0358]"
2026-01-30,45696630.69,True,13471.1,"IWDA.L, EWJ, IEMA.L, EWY, XLY, XLC, XLF, XLV, XBI, SOXX, LIT, SLV, COPX, EMB",14,0.0129,normal,"rebalance: COPX peso=0.0172 fuera de [0.1134, 0.1534]"
2026-02-27,49987343.35,True,14993.95,"IUSN.DE, IEMA.L, EWZ, EWY, XLF, KBE, IYT, XBI, SOXX, LIT, SLV, COPX",12,0.0017,normal,"rebalance: COPX peso=0.1394 fuera de [0.0885, 0.1285]"
2026-03-31,46910263.46,True,17216.93,"IUSN.DE, EWT, EWY, XLY, XLC, XLF, KBE, XLE, XLI, IYT, XLV, XBI, XLP, SOXX, CIBR, VNQ, LIT, GLD, SLV, COPX",20,0.0,caution,"rebalance: CIBR peso=0.0000 fuera de [0.0626, 0.1026]"
2026-04-30,51134069.31,True,15839.43,"IWDA.L, EWJ, IUSN.DE, EWZ, EWT, EWY, XLY, XLF, KBE, XLE, XOP, XLB, XBI, XLU, SOXX, LIT, GLD, SLV, DBA",19,0.0085,normal,"rebalance: CIBR peso=0.0799 fuera de [0.0000, 0.0200]"
